Rk,Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,key
1,Nickeil Alexander-Walker,SG,27,ATL,6,213,7.7,.528,.606,.211,1.5,6.5,3.8,11.9,0.7,2.1,18.0,19.7,,-0.2,-0.1,-0.4,-0.083,,-1.7,-2.2,-3.9,-0.1,nickeil alexanderwalker
2,Grayson Allen,SG,30,PHO,2,38,19.4,.644,.846,.308,2.9,9.2,6.0,16.3,0.0,5.1,0.0,16.8,,0.2,0.0,0.1,.137,,6.1,-0.8,5.3,0.1,grayson allen
3,Jarrett Allen,C,27,CLE,18,529,20.7,.640,.000,.693,12.7,16.1,14.4,6.0,1.7,5.2,8.7,16.3,,1.4,0.5,2.0,.179,,2.7,1.1,3.7,0.8,jarrett allen
4,Jose Alvarado,PG,27,NYK,18,170,14.0,.538,.507,.090,1.5,14.9,8.6,17.8,3.0,1.2,12.6,20.6,,0.1,0.4,0.5,.131,,-2.2,2.8,0.6,0.1,jose alvarado
5,Kyle Anderson,SF,32,MIN,8,61,6.3,.365,.059,.471,3.3,9.2,6.1,33.6,1.6,0.0,22.6,18.1,,-0.1,0.0,-0.1,-0.077,,-3.8,1.3,-2.6,0.0,kyle anderson
6,OG Anunoby,PF,28,NYK,17,586,23.8,.721,.455,.449,3.2,17.3,10.6,7.1,2.2,3.4,4.0,18.5,,2.5,1.2,3.8,.308,,5.4,4.0,9.4,1.7,og anunoby
7,Deni Avdija,SF,25,POR,5,174,16.4,.562,.256,.603,1.8,19.0,9.7,24.3,0.6,1.6,14.7,28.7,,0.1,0.0,0.2,.049,,1.8,0.2,2.1,0.2,deni avdija
8,Deandre Ayton,C,27,LAL,10,285,14.8,.557,.000,.155,16.3,24.5,20.5,5.3,0.4,2.6,12.7,16.4,,0.3,0.2,0.6,.093,,-0.9,-1.7,-2.6,0.0,deandre ayton
9,Paolo Banchero,PF,23,ORL,7,273,20.1,.524,.294,.517,3.4,22.3,12.5,34.2,1.8,1.7,12.0,31.8,,0.2,0.5,0.6,.109,,4.2,2.3,6.5,0.6,paolo banchero
10,Desmond Bane,SG,27,ORL,7,253,13.6,.535,.527,.182,4.1,10.3,7.1,9.9,2.6,0.7,8.5,22.3,,0.1,0.3,0.5,.087,,1.2,0.8,2.0,0.3,desmond bane
11,Dalano Banton,PG,26,BOS,2,4,19.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,,0.0,0.0,0.0,.186,,3.7,2.9,6.7,0.0,dalano banton
12,Dominick Barlow,PF,22,PHI,9,96,12.2,.647,.059,.412,7.1,10.9,9.0,1.6,1.1,4.5,9.1,10.5,,0.2,0.0,0.2,.080,,-1.3,0.5,-0.8,0.0,dominick barlow
13,Harrison Barnes,PF,33,SAS,20,183,8.0,.495,.667,.436,9.8,5.7,7.7,3.7,0.5,0.5,9.7,12.1,,0.1,0.1,0.3,.074,,-1.9,-0.9,-2.8,0.0,harrison barnes
14,Scottie Barnes,PF,24,TOR,7,273,22.9,.605,.181,.466,4.5,13.7,9.0,36.0,1.4,4.7,14.7,25.7,,0.8,0.2,1.0,.175,,4.2,3.8,8.1,0.7,scottie barnes
15,RJ Barrett,SF,25,TOR,7,271,16.6,.563,.333,.311,5.8,15.1,10.4,17.4,1.6,0.8,14.3,27.7,,0.1,0.2,0.3,.058,,0.8,0.0,0.8,0.2,rj barrett
16,Jamison Battle,SF,24,TOR,6,71,13.5,.763,.579,.000,4.8,13.2,8.9,2.1,0.0,0.0,5.0,12.1,,0.2,0.0,0.2,.124,,1.1,-0.7,0.4,0.0,jamison battle
17,Joan Beringer,PF,19,MIN,5,23,31.3,.639,.000,.889,22.2,29.3,25.6,0.0,4.2,8.0,19.3,28.0,,0.0,0.1,0.1,.209,,5.3,1.6,6.8,0.1,joan beringer
18,Goga Bitadze,C,26,ORL,6,83,12.8,.470,.000,.467,16.3,14.9,15.7,3.9,1.2,11.2,18.1,11.6,,0.0,0.2,0.2,.099,,-3.7,1.7,-2.0,0.0,goga bitadze
19,Bismack Biyombo,C,33,SAS,9,25,2.2,.429,.000,.000,4.5,8.3,6.5,0.0,0.0,7.2,22.2,15.5,,-0.1,0.0,0.0,-0.067,,-9.4,-0.1,-9.4,0.0,bismack biyombo
20,Anthony Black,PG,22,ORL,7,196,10.5,.474,.407,.389,1.1,11.5,6.1,8.7,3.9,2.4,7.3,15.2,,-0.1,0.4,0.3,.072,,-3.0,2.9,-0.1,0.1,anthony black
21,Adem Bona,C,22,PHI,10,96,6.5,.564,.000,1.000,13.1,12.1,12.6,1.5,0.5,7.9,32.3,16.2,,-0.1,0.0,-0.1,-0.046,,-9.4,0.4,-9.0,-0.2,adem bona
22,Devin Booker,SG,29,PHO,4,153,14.1,.564,.317,.444,7.3,5.3,6.3,20.3,0.3,0.6,17.5,25.8,,0.1,-0.2,-0.1,-0.028,,1.3,-3.5,-2.2,0.0,devin booker
23,Jamaree Bouyea,PG,26,PHO,4,10,25.3,.512,.000,.500,11.2,23.3,17.1,16.6,5.0,0.0,0.0,21.1,,0.0,0.0,0.0,.141,,5.7,5.7,11.4,0.0,jamaree bouyea
24,Tony Bradley,C,28,ATL,4,41,16.9,.828,.250,1.500,2.6,30.7,15.6,10.6,2.4,6.6,13.1,8.3,,0.1,0.0,0.1,.164,,-0.5,5.4,4.9,0.1,tony bradley
25,Christian Braun,SG,24,DEN,6,187,9.6,.564,.389,.528,1.2,11.3,6.3,7.9,1.6,2.2,8.3,11.4,,0.1,0.1,0.2,.063,,-1.3,0.4,-1.0,0.0,christian braun
26,Mikal Bridges,SF,29,NYK,19,608,15.5,.643,.335,.133,1.4,9.8,5.8,12.4,1.6,1.0,7.9,15.6,,1.4,0.9,2.3,.182,,0.8,2.0,2.8,0.7,mikal bridges
27,Dillon Brooks,SF,30,PHO,4,149,17.9,.576,.376,.141,3.7,14.8,9.2,8.7,0.3,0.6,6.2,28.0,,0.3,-0.2,0.1,.045,,2.7,-1.9,0.9,0.1,dillon brooks
28,Johni Broome,C,23,PHI,2,8,32.2,.583,.667,.000,14.3,14.5,14.4,31.3,0.0,0.0,0.0,34.3,,0.0,0.0,0.0,.175,,11.7,-3.2,8.5,0.0,johni broome
29,Bruce Brown,SG,29,DEN,6,116,9.2,.501,.324,.265,2.9,12.4,7.7,13.7,4.2,0.0,19.2,17.9,,-0.2,0.2,0.0,-0.008,,-4.4,2.0,-2.4,0.0,bruce brown
30,Jaylen Brown,SF,29,BOS,7,249,18.6,.551,.294,.322,4.7,13.0,8.8,17.3,1.2,2.9,13.3,33.4,,0.1,0.3,0.4,.079,,2.7,0.3,2.9,0.3,jaylen brown
31,Jalen Brunson,PG,29,NYK,19,702,22.2,.573,.300,.315,1.9,7.7,5.0,27.7,1.6,0.0,9.8,32.6,,2.0,1.0,3.0,.203,,4.5,0.1,4.6,1.2,jalen brunson
32,Carter Bryant,PF,20,SAS,22,187,8.8,.622,.659,.136,5.4,16.1,11.0,11.5,0.8,2.9,23.1,14.0,,0.1,0.3,0.3,.085,,-3.3,2.8,-0.5,0.1,carter bryant
33,Thomas Bryant,C,28,CLE,9,41,9.4,.381,.571,.143,8.6,23.1,15.8,7.9,2.5,2.1,8.2,26.1,,-0.1,0.1,0.0,-0.043,,-3.7,-2.1,-5.8,0.0,thomas bryant
34,Jamal Cain,SF,26,ORL,7,123,7.3,.473,.414,.379,5.9,15.6,10.6,5.5,0.8,2.3,12.9,13.8,,-0.1,0.2,0.1,.028,,-3.8,-0.2,-4.0,-0.1,jamal cain
35,Toumani Camara,PF,25,POR,5,165,6.5,.431,.711,.158,5.1,14.1,9.2,5.4,2.1,1.6,14.7,12.5,,-0.2,0.1,-0.1,-0.019,,-3.9,0.4,-3.4,-0.1,toumani camara
36,Clint Capela,C,31,HOU,4,22,12.5,.375,.000,.000,24.6,11.7,18.7,7.8,0.0,4.4,11.1,18.1,,0.0,0.0,0.0,.013,,-3.0,-3.9,-6.9,0.0,clint capela
37,Jevon Carter,PG,30,ORL,3,17,7.6,.250,.500,.000,6.1,6.6,6.4,18.6,3.0,0.0,0.0,10.2,,0.0,0.0,0.0,.016,,-2.5,0.1,-2.4,0.0,jevon carter
38,Wendell Carter Jr.,C,26,ORL,7,237,15.0,.625,.375,.646,8.8,13.8,11.2,14.4,0.8,4.7,14.0,13.2,,0.5,0.3,0.8,.155,,0.2,2.4,2.6,0.3,wendell carter
39,Alex Caruso,SG,31,OKC,15,353,17.6,.650,.643,.235,2.0,12.5,7.4,12.6,3.0,2.0,9.9,17.5,,0.8,0.4,1.2,.168,,1.8,3.6,5.4,0.6,alex caruso
40,Stephon Castle,PG,21,SAS,23,760,16.8,.587,.338,.459,4.9,11.4,8.2,29.1,1.4,0.9,18.4,24.7,,1.2,1.0,2.2,.139,,1.1,0.7,1.8,0.7,stephon castle
41,Julian Champagnie,SF,24,SAS,23,705,14.3,.617,.786,.153,3.3,16.2,10.0,7.4,2.1,1.5,5.9,13.6,,1.3,1.2,2.4,.166,,1.9,2.7,4.6,1.2,julian champagnie
42,Sidy Cissoko,SF,21,POR,4,26,17.6,.527,.500,.100,8.1,14.1,10.9,6.5,7.7,0.0,8.7,19.0,,0.0,0.0,0.1,.117,,0.1,6.6,6.7,0.1,sidy cissoko
43,Jaylen Clark,SG,24,MIN,6,57,5.2,.388,.667,.167,3.6,9.8,6.6,6.8,0.8,1.6,0.0,9.4,,0.0,0.0,0.0,.025,,-3.8,0.6,-3.2,0.0,jaylen clark
44,Jordan Clarkson,SG,33,NYK,18,195,10.9,.521,.247,.247,11.4,7.3,9.2,8.2,1.0,0.5,15.8,22.8,,0.0,0.2,0.3,.063,,-3.3,-1.0,-4.4,-0.1,jordan clarkson
45,Donovan Clingan,C,21,POR,5,107,10.8,.366,.543,.087,13.7,28.6,20.6,16.7,0.5,2.5,5.9,20.5,,-0.1,0.1,0.0,-0.015,,-1.7,-1.0,-2.7,0.0,donovan clingan
46,Amir Coffey,SG,28,PHO,4,6,-17.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.4,,-0.1,0.0,-0.1,-0.570,,-17.2,-6.7,-23.9,0.0,amir coffey
47,Mike Conley,PG,38,MIN,12,168,15.0,.682,.684,.053,0.6,9.4,4.8,26.6,2.3,0.0,11.4,10.8,,0.4,0.1,0.6,.158,,1.5,4.1,5.6,0.3,mike conley
48,Cade Cunningham,PG,24,DET,14,572,18.3,.572,.347,.391,2.6,11.8,7.2,33.3,1.3,1.4,18.6,32.4,,0.6,0.6,1.2,.098,,3.4,0.1,3.4,0.8,cade cunningham
49,Tristan Da Silva,SF,24,ORL,7,107,5.6,.471,.552,.138,6.8,13.7,10.1,1.6,0.5,0.0,14.0,14.6,,-0.1,0.1,0.0,-0.004,,-3.5,-1.6,-5.1,-0.1,tristan da silva
50,PacÃ´me Dadiet,SG,20,NYK,7,40,17.6,.592,.500,.125,6.2,13.7,10.2,11.3,2.5,0.0,10.6,20.7,,0.1,0.1,0.1,.159,,0.4,0.3,0.8,0.0,paca me dadiet
51,Dyson Daniels,SG,22,ATL,6,166,14.3,.504,.341,.146,5.8,21.2,12.9,27.7,3.3,1.1,20.1,14.6,,0.1,0.1,0.1,.036,,-0.7,3.4,2.7,0.2,dyson daniels
52,JD Davison,PG,23,HOU,2,5,2.0,1.136,,,0.0,51.6,23.5,0.0,0.0,0.0,69.4,25.4,,0.0,0.0,0.0,-0.203,,-13.3,-2.5,-15.8,0.0,jd davison
53,Mohamed Diawara,SF,20,NYK,6,43,2.0,.269,.462,.000,2.9,20.5,12.2,17.6,1.2,0.0,18.8,16.3,,-0.1,0.1,-0.1,-0.066,,-8.2,-1.6,-9.8,-0.1,mohamed diawara
54,Gradey Dick,SG,22,TOR,3,4,3.3,,,,0.0,29.2,14.3,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.035,,-4.2,0.3,-3.9,0.0,gradey dick
55,Donte DiVincenzo,SG,29,MIN,4,96,18.3,.654,.719,.063,0.0,17.5,8.4,25.1,3.5,0.0,10.8,16.0,,0.2,0.1,0.3,.171,,2.5,6.0,8.5,0.3,donte divincenzo
56,Luguentz Dort,SF,26,OKC,15,335,6.4,.489,.793,.049,3.5,10.2,6.9,7.8,1.1,0.6,8.7,12.0,,0.1,0.2,0.3,.037,,-3.3,0.6,-2.8,-0.1,luguentz dort
57,Ayo Dosunmu,SG,26,MIN,10,292,18.0,.620,.351,.237,2.4,11.2,6.6,22.1,1.5,1.3,10.6,20.0,,0.7,0.2,0.9,.146,,2.7,2.6,5.4,0.5,ayo dosunmu
58,Andre Drummond,C,32,PHI,11,142,14.2,.785,.348,.435,9.6,28.6,19.0,7.4,1.4,1.5,24.7,11.7,,0.3,0.1,0.3,.117,,-1.8,2.5,0.7,0.1,andre drummond
59,Ryan Dunn,SF,23,PHO,4,34,-5.7,.000,1.000,.000,0.0,20.5,10.1,7.3,0.0,0.0,42.9,8.9,,-0.2,0.0,-0.2,-0.273,,-11.1,-2.0,-13.1,-0.1,ryan dunn
60,Kevin Durant,SF,37,HOU,1,41,13.8,.721,.333,.750,5.3,12.6,8.6,17.8,1.3,2.4,36.1,26.9,,0.0,0.0,0.0,.005,,-1.3,-0.5,-1.7,0.0,kevin durant
61,Jalen Duren,C,22,DET,14,422,13.8,.553,.000,.422,12.5,19.7,16.1,11.1,1.1,4.2,19.8,16.7,,0.2,0.6,0.8,.094,,-2.2,0.5,-1.7,0.0,jalen duren
62,Tari Eason,PF,24,HOU,6,195,18.7,.587,.462,.200,6.7,18.5,12.1,9.1,4.0,2.0,6.6,17.1,,0.4,0.4,0.8,.188,,0.6,3.4,4.0,0.3,tari eason
63,VJ Edgecombe,SG,20,PHI,11,407,12.3,.504,.497,.124,6.4,12.5,9.5,14.5,1.4,1.1,10.5,19.2,,0.1,0.0,0.1,.008,,-0.4,-0.2,-0.6,0.1,vj edgecombe
64,Anthony Edwards,SG,24,MIN,10,324,15.4,.533,.350,.283,1.6,18.0,9.4,14.1,0.7,2.0,11.0,29.1,,0.0,0.2,0.2,.037,,1.2,0.1,1.3,0.3,anthony edwards
65,Justin Edwards,SF,22,PHI,9,109,3.8,.428,.563,.219,6.3,14.9,10.6,5.4,0.0,1.0,14.6,17.2,,-0.2,0.0,-0.2,-0.098,,-6.8,-2.4,-9.3,-0.2,justin edwards
66,Keon Ellis,SG,26,CLE,12,89,8.0,.552,.933,.333,4.0,14.6,9.3,4.7,4.0,1.0,25.9,11.5,,-0.1,0.1,0.1,.033,,-3.3,2.3,-0.9,0.0,keon ellis
67,Joel Embiid,C,31,PHI,7,233,23.9,.560,.226,.476,3.9,21.4,12.6,30.8,0.4,2.8,9.1,32.4,,0.5,0.0,0.6,.117,,4.9,1.1,6.0,0.5,joel embiid
68,Dorian Finney-Smith,PF,32,HOU,4,49,-1.3,.269,.786,.143,2.2,18.4,9.6,3.0,1.1,2.0,11.8,15.2,,-0.2,0.1,-0.1,-0.104,,-9.7,-1.7,-11.4,-0.1,dorian finneysmith
69,Rasheer Fleming,PF,21,PHO,4,18,22.1,.900,1.000,.000,6.2,0.0,3.2,0.0,5.6,5.3,16.7,14.4,,0.0,0.0,0.0,.121,,7.6,4.3,11.9,0.1,rasheer fleming
70,De'Aaron Fox,PG,28,SAS,21,704,14.0,.497,.338,.205,1.9,9.9,6.1,27.8,1.9,1.1,11.6,22.8,,0.4,1.0,1.4,.094,,-0.4,0.9,0.5,0.4,deaaron fox
71,Luka Garza,C,27,BOS,7,59,19.9,.659,.650,.400,12.7,9.5,11.1,16.3,0.0,1.6,4.1,18.4,,0.3,0.0,0.3,.270,,2.1,1.7,3.8,0.1,luka garza
72,Paul George,PF,35,PHI,11,394,14.3,.597,.500,.141,1.7,10.9,6.3,13.7,1.8,1.4,12.7,20.1,,0.3,0.0,0.3,.038,,1.5,0.7,2.2,0.4,paul george
73,Shai Gilgeous-Alexander,PG,27,OKC,15,544,24.9,.591,.207,.519,1.3,7.9,4.7,35.8,1.8,2.4,11.6,31.9,,2.0,0.4,2.4,.212,,5.2,1.3,6.5,1.2,shai gilgeousalexander
74,Collin Gillespie,PG,26,PHO,4,114,15.3,.576,.694,.028,5.9,14.3,10.0,19.9,2.2,0.8,9.9,15.3,,0.2,-0.1,0.1,.061,,2.0,0.8,2.8,0.1,collin gillespie
75,Rudy Gobert,C,33,MIN,12,372,13.0,.502,.029,.551,11.5,21.1,16.1,10.2,1.8,3.2,14.9,11.2,,0.2,0.4,0.7,.089,,-1.3,2.4,1.1,0.3,rudy gobert
76,Hugo GonzÃ¡lez,SF,19,BOS,4,19,-4.6,.000,1.000,.667,5.6,17.6,11.5,13.2,0.0,4.8,20.5,11.4,,-0.1,0.0,-0.1,-0.168,,-12.6,0.9,-11.7,0.0,hugo gonzalez
77,Jordan Goodwin,PG,27,PHO,1,5,-13.2,.250,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,,0.0,0.0,0.0,-0.466,,-18.6,-6.6,-25.2,0.0,jordan goodwin
78,Aaron Gordon,PF,30,DEN,3,89,10.8,.494,.467,.333,5.1,14.9,10.1,12.6,0.0,0.9,2.8,17.6,,0.1,0.0,0.1,.047,,-0.6,-1.5,-2.1,0.0,aaron gordon
79,Jerami Grant,PF,31,POR,5,112,11.1,.511,.349,.419,1.9,7.7,4.5,2.9,2.2,0.8,5.6,20.8,,0.1,0.0,0.1,.037,,-1.4,-0.2,-1.6,0.0,jerami grant
80,Jalen Green,SG,23,PHO,4,151,13.4,.474,.410,.241,3.7,12.3,7.9,15.7,2.7,0.6,12.4,30.0,,-0.2,-0.1,-0.3,-0.083,,-1.0,-1.4,-2.4,0.0,jalen green
81,Javonte Green,SG,32,DET,11,132,7.4,.460,.900,.200,1.7,15.5,8.7,3.2,2.3,3.9,8.4,11.8,,0.0,0.2,0.2,.063,,-3.8,2.8,-1.0,0.0,javonte green
82,Jeff Green,PF,39,HOU,2,11,-13.5,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,12.0,,-0.1,0.0,-0.1,-0.311,,-16.4,-5.8,-22.2,0.0,jeff green
83,Quentin Grimes,SG,25,PHI,11,243,11.1,.569,.603,.276,0.9,13.4,7.1,15.1,0.6,2.2,8.4,13.4,,0.3,0.0,0.3,.053,,-0.7,0.6,-0.1,0.1,quentin grimes
84,Mouhamed Gueye,PF,23,ATL,6,50,4.9,.336,.714,.143,10.8,12.6,11.6,11.8,1.0,0.0,6.3,14.1,,0.0,0.0,-0.1,-0.068,,-6.1,-1.2,-7.3,-0.1,mouhamed gueye
85,Rui Hachimura,PF,27,LAL,10,386,15.7,.690,.475,.090,1.9,10.4,6.3,7.6,1.2,1.4,6.6,16.1,,0.9,0.2,1.1,.133,,2.7,0.8,3.6,0.5,rui hachimura
86,Yang Hansen,C,20,POR,4,5,-12.4,.000,1.000,.000,0.0,24.5,11.3,0.0,0.0,0.0,0.0,17.3,,0.0,0.0,0.0,-0.405,,-13.4,-6.3,-19.6,0.0,yang hansen
87,Tim Hardaway Jr.,SG,33,DEN,6,140,14.1,.585,.511,.533,4.9,11.1,8.0,5.7,1.4,1.2,6.7,18.8,,0.2,0.1,0.3,.095,,1.1,-0.2,0.9,0.1,tim hardaway
88,James Harden,PG,36,CLE,18,672,14.8,.568,.510,.498,2.3,13.9,8.1,24.0,2.3,1.6,21.7,25.4,,0.1,0.6,0.7,.050,,0.6,0.2,0.8,0.5,james harden
89,Dylan Harper,SG,19,SAS,23,615,18.4,.611,.296,.322,5.3,16.8,11.2,16.2,1.8,0.7,11.6,21.1,,1.3,1.0,2.3,.180,,1.4,2.2,3.7,0.9,dylan harper
90,Ron Harper Jr.,SF,25,BOS,6,25,20.8,.611,.667,.000,4.3,13.4,8.7,6.3,6.1,0.0,0.0,15.9,,0.1,0.1,0.1,.221,,3.9,6.0,9.9,0.1,ron harper
91,Tobias Harris,PF,33,DET,14,485,16.6,.523,.304,.294,3.8,20.0,11.9,8.1,2.2,2.3,5.8,23.1,,0.6,0.8,1.4,.134,,0.2,1.9,2.1,0.5,tobias harris
92,Josh Hart,SF,30,NYK,19,614,14.2,.525,.494,.190,4.4,26.5,16.1,19.1,2.6,0.7,16.0,16.1,,0.5,1.4,1.9,.146,,-0.3,3.1,2.8,0.7,josh hart
93,Isaiah Hartenstein,C,27,OKC,15,350,20.0,.664,.011,.333,16.9,24.3,20.7,16.1,1.7,2.8,20.1,16.2,,1.0,0.5,1.4,.197,,0.8,2.2,3.0,0.4,isaiah hartenstein
94,Sam Hauser,PF,28,BOS,7,164,11.5,.587,.826,.000,5.9,14.3,10.0,5.4,0.3,0.6,4.2,12.9,,0.3,0.1,0.4,.114,,0.4,0.0,0.4,0.1,sam hauser
95,Jaxson Hayes,C,25,LAL,10,163,14.5,.715,.036,.964,11.5,12.4,12.0,6.7,1.0,4.6,20.0,14.0,,0.3,0.1,0.4,.131,,-2.3,0.9,-1.4,0.0,jaxson hayes
96,Scoot Henderson,PG,21,POR,5,145,11.6,.600,.475,.136,1.4,5.1,3.1,7.5,1.4,0.6,12.6,21.3,,0.1,0.0,0.1,.022,,-0.7,-0.4,-1.1,0.0,scoot henderson
97,Buddy Hield,SG,33,ATL,2,13,22.2,1.000,.400,.000,0.0,19.3,8.9,0.0,0.0,0.0,28.6,23.9,,0.0,0.0,0.0,-0.035,,6.5,-2.1,4.4,0.0,buddy hield
98,Haywood Highsmith,SF,29,PHO,2,11,-7.5,.000,1.000,.000,10.1,21.2,15.5,11.3,0.0,0.0,50.0,15.7,,-0.1,0.0,-0.1,-0.414,,-11.1,-5.0,-16.1,0.0,haywood highsmith
99,Aaron Holiday,PG,29,HOU,6,67,1.0,.364,.682,.000,0.0,3.9,1.8,7.1,1.6,1.4,12.0,16.5,,-0.2,0.1,-0.1,-0.078,,-8.2,-2.2,-10.4,-0.1,aaron holiday
100,Jrue Holiday,PG,35,POR,5,192,13.6,.506,.442,.117,4.4,12.1,7.9,32.1,1.8,0.9,16.5,21.8,,0.0,0.1,0.1,.021,,0.9,0.3,1.2,0.2,jrue holiday
101,Ron Holland,SF,20,DET,9,58,6.7,.428,.615,.385,2.0,25.5,13.8,2.4,3.5,3.6,16.5,13.7,,-0.1,0.1,0.0,.033,,-6.5,3.8,-2.7,0.0,ron holland
102,DaRon Holmes,PF,23,DEN,2,4,6.6,,,,0.0,55.4,28.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.080,,-4.2,0.7,-3.6,0.0,daron holmes
103,Chet Holmgren,PF,23,OKC,15,459,20.4,.663,.288,.356,7.7,23.0,15.5,5.5,1.8,4.8,10.6,18.0,,1.2,0.7,1.8,.191,,1.6,1.4,3.1,0.6,chet holmgren
104,Jett Howard,SF,22,ORL,1,3,-25.3,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,0.0,0.0,0.0,-0.695,,-17.8,-10.0,-27.8,0.0,jett howard
105,Kevin Huerter,SG,27,DET,5,46,7.0,.429,.714,.000,0.0,12.4,6.2,20.8,2.2,0.0,22.2,8.6,,0.0,0.1,0.0,.051,,-2.9,2.3,-0.6,0.0,kevin huerter
106,Ariel Hukporti,C,23,NYK,10,76,13.2,.483,.091,1.364,22.7,26.0,24.5,4.9,1.3,9.7,22.1,13.1,,0.0,0.2,0.2,.158,,-5.4,1.1,-4.3,0.0,ariel hukporti
107,Bones Hyland,PG,25,MIN,10,116,7.7,.430,.680,.160,2.6,9.7,6.0,18.5,1.7,0.8,13.0,22.0,,-0.2,0.1,-0.1,-0.039,,-3.0,-0.3,-3.2,0.0,bones hyland
108,Oso Ighodaro,PF,23,PHO,4,129,11.9,.563,.000,.250,10.4,14.4,12.4,17.7,0.8,2.2,20.8,11.3,,0.2,-0.1,0.0,.013,,-0.9,0.5,-0.4,0.1,oso ighodaro
109,Joe Ingles,SF,38,MIN,3,14,23.2,.902,1.000,.667,7.3,8.0,7.6,0.0,6.9,0.0,20.5,14.5,,0.0,0.0,0.1,.192,,7.3,6.3,13.6,0.1,joe ingles
110,Brandon Ingram,SF,28,TOR,5,148,7.0,.440,.224,.397,1.5,11.0,6.2,10.6,1.0,2.9,12.8,22.6,,-0.3,0.1,-0.2,-0.059,,-3.6,-0.9,-4.5,-0.1,brandon ingram
111,Trayce Jackson-Davis,C,25,TOR,3,4,0.5,.532,.000,2.000,28.1,0.0,14.3,0.0,0.0,0.0,34.7,30.8,,0.0,0.0,0.0,-0.115,,-20.2,-6.5,-26.7,0.0,trayce jacksondavis
112,Bronny James,SG,21,LAL,8,42,9.5,.600,.600,.000,9.0,0.0,4.4,26.2,1.2,0.0,28.6,15.2,,0.0,0.0,0.0,.030,,-1.4,-1.3,-2.8,0.0,bronny james
