Rk,Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,key
140,CJ McCollum,PG,34,ATL,6,192,12.6,.525,.333,.242,3.9,7.2,5.4,12.0,1.6,3.3,16.1,30.2,,-0.4,0.0,-0.4,-0.104,,-1.3,-1.5,-2.7,0.0,cj mccollum
141,Jaden McDaniels,PF,25,MIN,12,406,13.0,.512,.239,.199,7.0,11.3,9.1,11.2,0.7,1.8,8.2,21.3,,0.3,0.2,0.5,.058,,-1.1,0.4,-0.7,0.1,jaden mcdaniels
142,Jordan McLaughlin,PG,29,SAS,10,46,22.2,.800,.455,.182,4.9,13.6,9.4,32.7,2.1,0.0,14.4,13.0,,0.2,0.1,0.3,.296,,5.0,4.9,9.9,0.1,jordan mclaughlin
143,Sam Merrill,SG,29,CLE,17,338,11.1,.617,.813,.260,2.8,4.5,3.7,8.7,1.2,0.0,7.8,15.1,,0.7,0.0,0.7,.100,,0.0,-0.3,-0.3,0.1,sam merrill
144,Ajay Mitchell,SG,23,OKC,11,317,18.7,.553,.292,.219,4.9,10.0,7.5,22.6,2.7,0.3,9.1,22.8,,0.7,0.3,1.0,.146,,0.6,1.1,1.8,0.3,ajay mitchell
145,Donovan Mitchell,SG,29,CLE,18,652,18.6,.558,.412,.243,2.7,13.0,7.9,16.7,1.6,0.7,10.1,31.5,,0.9,0.4,1.2,.091,,2.9,-0.9,2.0,0.7,donovan mitchell
146,Evan Mobley,PF,24,CLE,18,640,19.4,.609,.333,.408,6.8,19.9,13.4,18.6,1.3,4.4,14.0,20.1,,1.3,0.6,1.9,.143,,2.8,2.6,5.4,1.2,evan mobley
147,Jonathan Mogbo,PF,24,TOR,3,4,33.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,.298,,5.1,2.4,7.5,0.0,jonathan mogbo
148,Jamal Murray,PG,28,DEN,6,238,14.8,.484,.326,.310,3.3,10.7,7.1,25.3,1.0,0.7,8.1,29.6,,-0.1,0.1,0.0,.010,,1.9,-2.8,-0.8,0.1,jamal murray
149,Kris Murray,SF,25,POR,5,25,-1.3,.512,.500,.500,4.2,9.8,6.8,0.0,0.0,0.0,38.1,13.6,,-0.1,0.0,-0.1,-0.158,,-9.1,-1.8,-10.9,-0.1,kris murray
150,Collin Murray-Boyles,PF,20,TOR,7,191,23.1,.685,.047,.344,12.4,14.7,13.5,14.7,2.3,4.5,15.0,19.4,,0.6,0.2,0.8,.191,,2.4,3.2,5.6,0.4,collin murrayboyles
151,Larry Nance Jr.,PF,33,CLE,2,5,-10.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.8,,0.0,0.0,0.0,-0.306,,-11.1,-4.4,-15.5,0.0,larry nance
